warehouse_id,date,sku,quantity_on_hand
WH-005,2026-01-01,SKU-0001,452
WH-005,2026-01-01,SKU-0002,249
WH-005,2026-01-01,SKU-0003,182
WH-005,2026-01-01,SKU-0004,304
WH-005,2026-01-01,SKU-0005,101
WH-005,2026-01-01,SKU-0006,242
WH-005,2026-01-01,SKU-0007,384
WH-005,2026-01-01,SKU-0008,286
WH-005,2026-01-01,SKU-0009,422
WH-005,2026-01-01,SKU-0010,113
WH-005,2026-01-01,SKU-0011,453
WH-005,2026-01-01,SKU-0012,378
WH-005,2026-01-01,SKU-0013,232
WH-005,2026-01-01,SKU-0014,71
WH-005,2026-01-01,SKU-0015,326
WH-005,2026-01-01,SKU-0016,185
WH-005,2026-01-01,SKU-0017,88
WH-005,2026-01-01,SKU-0018,175
WH-005,2026-01-01,SKU-0019,399
WH-005,2026-01-01,SKU-0020,401
WH-005,2026-01-01,SKU-0021,61
WH-005,2026-01-01,SKU-0022,65
WH-005,2026-01-01,SKU-0023,25
WH-005,2026-01-01,SKU-0024,208
WH-005,2026-01-01,SKU-0025,324
WH-005,2026-01-01,SKU-0026,63
WH-005,2026-01-01,SKU-0027,28
WH-005,2026-01-01,SKU-0028,284
WH-005,2026-01-01,SKU-0029,4
WH-005,2026-01-01,SKU-0030,249
WH-005,2026-01-01,SKU-0031,129
WH-005,2026-01-01,SKU-0032,3
WH-005,2026-01-01,SKU-0033,78
WH-005,2026-01-01,SKU-0034,310
WH-005,2026-01-01,SKU-0035,402
WH-005,2026-01-01,SKU-0036,156
WH-005,2026-01-01,SKU-0037,471
WH-005,2026-01-01,SKU-0038,311
WH-005,2026-01-01,SKU-0039,331
WH-005,2026-01-01,SKU-0040,19
WH-005,2026-01-01,SKU-0041,201
WH-005,2026-01-01,SKU-0042,339
WH-005,2026-01-01,SKU-0043,393
WH-005,2026-01-01,SKU-0044,236
WH-005,2026-01-01,SKU-0045,369
WH-005,2026-01-01,SKU-0046,165
WH-005,2026-01-01,SKU-0047,13
WH-005,2026-01-01,SKU-0048,152
WH-005,2026-01-01,SKU-0049,379
WH-005,2026-01-01,SKU-0050,329
