warehouse_id,date,sku,quantity_on_hand
WH-004,2025-12-29,SKU-0001,39
WH-004,2025-12-29,SKU-0002,273
WH-004,2025-12-29,SKU-0003,143
WH-004,2025-12-29,SKU-0004,103
WH-004,2025-12-29,SKU-0005,461
WH-004,2025-12-29,SKU-0006,148
WH-004,2025-12-29,SKU-0007,118
WH-004,2025-12-29,SKU-0008,206
WH-004,2025-12-29,SKU-0009,419
WH-004,2025-12-29,SKU-0010,147
WH-004,2025-12-29,SKU-0011,87
WH-004,2025-12-29,SKU-0012,445
WH-004,2025-12-29,SKU-0013,171
WH-004,2025-12-29,SKU-0014,165
WH-004,2025-12-29,SKU-0015,409
WH-004,2025-12-29,SKU-0016,117
WH-004,2025-12-29,SKU-0017,337
WH-004,2025-12-29,SKU-0018,246
WH-004,2025-12-29,SKU-0019,202
WH-004,2025-12-29,SKU-0020,448
WH-004,2025-12-29,SKU-0021,229
WH-004,2025-12-29,SKU-0022,460
WH-004,2025-12-29,SKU-0023,317
WH-004,2025-12-29,SKU-0024,166
WH-004,2025-12-29,SKU-0025,449
WH-004,2025-12-29,SKU-0026,418
WH-004,2025-12-29,SKU-0027,110
WH-004,2025-12-29,SKU-0028,357
WH-004,2025-12-29,SKU-0029,164
WH-004,2025-12-29,SKU-0030,180
WH-004,2025-12-29,SKU-0031,345
WH-004,2025-12-29,SKU-0032,85
WH-004,2025-12-29,SKU-0033,100
WH-004,2025-12-29,SKU-0034,473
WH-004,2025-12-29,SKU-0035,142
WH-004,2025-12-29,SKU-0036,231
WH-004,2025-12-29,SKU-0037,305
WH-004,2025-12-29,SKU-0038,161
WH-004,2025-12-29,SKU-0039,174
WH-004,2025-12-29,SKU-0040,130
WH-004,2025-12-29,SKU-0041,259
WH-004,2025-12-29,SKU-0042,489
WH-004,2025-12-29,SKU-0043,461
WH-004,2025-12-29,SKU-0044,111
WH-004,2025-12-29,SKU-0045,79
WH-004,2025-12-29,SKU-0046,64
WH-004,2025-12-29,SKU-0047,111
WH-004,2025-12-29,SKU-0048,393
WH-004,2025-12-29,SKU-0049,466
WH-004,2025-12-29,SKU-0050,124
