warehouse_id,date,sku,quantity_on_hand
WH-004,2026-01-03,SKU-0001,193
WH-004,2026-01-03,SKU-0002,185
WH-004,2026-01-03,SKU-0003,277
WH-004,2026-01-03,SKU-0004,224
WH-004,2026-01-03,SKU-0005,180
WH-004,2026-01-03,SKU-0006,211
WH-004,2026-01-03,SKU-0007,410
WH-004,2026-01-03,SKU-0008,490
WH-004,2026-01-03,SKU-0009,30
WH-004,2026-01-03,SKU-0010,127
WH-004,2026-01-03,SKU-0011,208
WH-004,2026-01-03,SKU-0012,348
WH-004,2026-01-03,SKU-0013,164
WH-004,2026-01-03,SKU-0014,291
WH-004,2026-01-03,SKU-0015,229
WH-004,2026-01-03,SKU-0016,129
WH-004,2026-01-03,SKU-0017,46
WH-004,2026-01-03,SKU-0018,222
WH-004,2026-01-03,SKU-0019,99
WH-004,2026-01-03,SKU-0020,317
WH-004,2026-01-03,SKU-0021,260
WH-004,2026-01-03,SKU-0022,278
WH-004,2026-01-03,SKU-0023,390
WH-004,2026-01-03,SKU-0024,346
WH-004,2026-01-03,SKU-0025,70
WH-004,2026-01-03,SKU-0026,298
WH-004,2026-01-03,SKU-0027,153
WH-004,2026-01-03,SKU-0028,87
WH-004,2026-01-03,SKU-0029,143
WH-004,2026-01-03,SKU-0030,203
WH-004,2026-01-03,SKU-0031,128
WH-004,2026-01-03,SKU-0032,409
WH-004,2026-01-03,SKU-0033,479
WH-004,2026-01-03,SKU-0034,139
WH-004,2026-01-03,SKU-0035,101
WH-004,2026-01-03,SKU-0036,359
WH-004,2026-01-03,SKU-0037,33
WH-004,2026-01-03,SKU-0038,347
WH-004,2026-01-03,SKU-0039,193
WH-004,2026-01-03,SKU-0040,93
WH-004,2026-01-03,SKU-0041,356
WH-004,2026-01-03,SKU-0042,123
WH-004,2026-01-03,SKU-0043,39
WH-004,2026-01-03,SKU-0044,236
WH-004,2026-01-03,SKU-0045,231
WH-004,2026-01-03,SKU-0046,438
WH-004,2026-01-03,SKU-0047,153
WH-004,2026-01-03,SKU-0048,202
WH-004,2026-01-03,SKU-0049,455
WH-004,2026-01-03,SKU-0050,342
