warehouse_id,date,sku,quantity_on_hand
WH-004,2025-12-28,SKU-0001,180
WH-004,2025-12-28,SKU-0002,458
WH-004,2025-12-28,SKU-0003,436
WH-004,2025-12-28,SKU-0004,197
WH-004,2025-12-28,SKU-0005,157
WH-004,2025-12-28,SKU-0006,450
WH-004,2025-12-28,SKU-0007,145
WH-004,2025-12-28,SKU-0008,96
WH-004,2025-12-28,SKU-0009,422
WH-004,2025-12-28,SKU-0010,450
WH-004,2025-12-28,SKU-0011,388
WH-004,2025-12-28,SKU-0012,401
WH-004,2025-12-28,SKU-0013,6
WH-004,2025-12-28,SKU-0014,370
WH-004,2025-12-28,SKU-0015,39
WH-004,2025-12-28,SKU-0016,352
WH-004,2025-12-28,SKU-0017,368
WH-004,2025-12-28,SKU-0018,277
WH-004,2025-12-28,SKU-0019,43
WH-004,2025-12-28,SKU-0020,404
WH-004,2025-12-28,SKU-0021,361
WH-004,2025-12-28,SKU-0022,353
WH-004,2025-12-28,SKU-0023,194
WH-004,2025-12-28,SKU-0024,40
WH-004,2025-12-28,SKU-0025,118
WH-004,2025-12-28,SKU-0026,484
WH-004,2025-12-28,SKU-0027,159
WH-004,2025-12-28,SKU-0028,233
WH-004,2025-12-28,SKU-0029,442
WH-004,2025-12-28,SKU-0030,418
WH-004,2025-12-28,SKU-0031,49
WH-004,2025-12-28,SKU-0032,242
WH-004,2025-12-28,SKU-0033,132
WH-004,2025-12-28,SKU-0034,490
WH-004,2025-12-28,SKU-0035,356
WH-004,2025-12-28,SKU-0036,174
WH-004,2025-12-28,SKU-0037,224
WH-004,2025-12-28,SKU-0038,415
WH-004,2025-12-28,SKU-0039,423
WH-004,2025-12-28,SKU-0040,133
WH-004,2025-12-28,SKU-0041,357
WH-004,2025-12-28,SKU-0042,358
WH-004,2025-12-28,SKU-0043,415
WH-004,2025-12-28,SKU-0044,453
WH-004,2025-12-28,SKU-0045,9
WH-004,2025-12-28,SKU-0046,60
WH-004,2025-12-28,SKU-0047,406
WH-004,2025-12-28,SKU-0048,484
WH-004,2025-12-28,SKU-0049,395
WH-004,2025-12-28,SKU-0050,174
