warehouse_id,date,sku,quantity_on_hand
WH-003,2025-12-31,SKU-0001,497
WH-003,2025-12-31,SKU-0002,253
WH-003,2025-12-31,SKU-0003,198
WH-003,2025-12-31,SKU-0004,182
WH-003,2025-12-31,SKU-0005,241
WH-003,2025-12-31,SKU-0006,66
WH-003,2025-12-31,SKU-0007,410
WH-003,2025-12-31,SKU-0008,155
WH-003,2025-12-31,SKU-0009,305
WH-003,2025-12-31,SKU-0010,138
WH-003,2025-12-31,SKU-0011,315
WH-003,2025-12-31,SKU-0012,140
WH-003,2025-12-31,SKU-0013,259
WH-003,2025-12-31,SKU-0014,85
WH-003,2025-12-31,SKU-0015,205
WH-003,2025-12-31,SKU-0016,467
WH-003,2025-12-31,SKU-0017,64
WH-003,2025-12-31,SKU-0018,434
WH-003,2025-12-31,SKU-0019,365
WH-003,2025-12-31,SKU-0020,276
WH-003,2025-12-31,SKU-0021,451
WH-003,2025-12-31,SKU-0022,409
WH-003,2025-12-31,SKU-0023,72
WH-003,2025-12-31,SKU-0024,475
WH-003,2025-12-31,SKU-0025,92
WH-003,2025-12-31,SKU-0026,493
WH-003,2025-12-31,SKU-0027,384
WH-003,2025-12-31,SKU-0028,335
WH-003,2025-12-31,SKU-0029,435
WH-003,2025-12-31,SKU-0030,202
WH-003,2025-12-31,SKU-0031,188
WH-003,2025-12-31,SKU-0032,165
WH-003,2025-12-31,SKU-0033,106
WH-003,2025-12-31,SKU-0034,328
WH-003,2025-12-31,SKU-0035,14
WH-003,2025-12-31,SKU-0036,34
WH-003,2025-12-31,SKU-0037,453
WH-003,2025-12-31,SKU-0038,305
WH-003,2025-12-31,SKU-0039,66
WH-003,2025-12-31,SKU-0040,448
WH-003,2025-12-31,SKU-0041,100
WH-003,2025-12-31,SKU-0042,383
WH-003,2025-12-31,SKU-0043,164
WH-003,2025-12-31,SKU-0044,488
WH-003,2025-12-31,SKU-0045,451
WH-003,2025-12-31,SKU-0046,441
WH-003,2025-12-31,SKU-0047,223
WH-003,2025-12-31,SKU-0048,448
WH-003,2025-12-31,SKU-0049,254
WH-003,2025-12-31,SKU-0050,126
