warehouse_id,date,sku,quantity_on_hand
WH-003,2026-01-03,SKU-0001,416
WH-003,2026-01-03,SKU-0002,144
WH-003,2026-01-03,SKU-0003,314
WH-003,2026-01-03,SKU-0004,293
WH-003,2026-01-03,SKU-0005,73
WH-003,2026-01-03,SKU-0006,96
WH-003,2026-01-03,SKU-0007,291
WH-003,2026-01-03,SKU-0008,237
WH-003,2026-01-03,SKU-0009,190
WH-003,2026-01-03,SKU-0010,255
WH-003,2026-01-03,SKU-0011,243
WH-003,2026-01-03,SKU-0012,248
WH-003,2026-01-03,SKU-0013,61
WH-003,2026-01-03,SKU-0014,134
WH-003,2026-01-03,SKU-0015,9
WH-003,2026-01-03,SKU-0016,117
WH-003,2026-01-03,SKU-0017,430
WH-003,2026-01-03,SKU-0018,7
WH-003,2026-01-03,SKU-0019,156
WH-003,2026-01-03,SKU-0020,369
WH-003,2026-01-03,SKU-0021,73
WH-003,2026-01-03,SKU-0022,369
WH-003,2026-01-03,SKU-0023,447
WH-003,2026-01-03,SKU-0024,181
WH-003,2026-01-03,SKU-0025,498
WH-003,2026-01-03,SKU-0026,318
WH-003,2026-01-03,SKU-0027,439
WH-003,2026-01-03,SKU-0028,44
WH-003,2026-01-03,SKU-0029,45
WH-003,2026-01-03,SKU-0030,24
WH-003,2026-01-03,SKU-0031,60
WH-003,2026-01-03,SKU-0032,303
WH-003,2026-01-03,SKU-0033,457
WH-003,2026-01-03,SKU-0034,41
WH-003,2026-01-03,SKU-0035,451
WH-003,2026-01-03,SKU-0036,58
WH-003,2026-01-03,SKU-0037,355
WH-003,2026-01-03,SKU-0038,225
WH-003,2026-01-03,SKU-0039,435
WH-003,2026-01-03,SKU-0040,62
WH-003,2026-01-03,SKU-0041,348
WH-003,2026-01-03,SKU-0042,244
WH-003,2026-01-03,SKU-0043,161
WH-003,2026-01-03,SKU-0044,33
WH-003,2026-01-03,SKU-0045,32
WH-003,2026-01-03,SKU-0046,161
WH-003,2026-01-03,SKU-0047,423
WH-003,2026-01-03,SKU-0048,137
WH-003,2026-01-03,SKU-0049,111
WH-003,2026-01-03,SKU-0050,145
