warehouse_id,date,sku,quantity_on_hand
WH-002,2026-01-01,SKU-0001,318
WH-002,2026-01-01,SKU-0002,442
WH-002,2026-01-01,SKU-0003,222
WH-002,2026-01-01,SKU-0004,180
WH-002,2026-01-01,SKU-0005,387
WH-002,2026-01-01,SKU-0006,254
WH-002,2026-01-01,SKU-0007,319
WH-002,2026-01-01,SKU-0008,145
WH-002,2026-01-01,SKU-0009,64
WH-002,2026-01-01,SKU-0010,462
WH-002,2026-01-01,SKU-0011,464
WH-002,2026-01-01,SKU-0012,125
WH-002,2026-01-01,SKU-0013,478
WH-002,2026-01-01,SKU-0014,215
WH-002,2026-01-01,SKU-0015,387
WH-002,2026-01-01,SKU-0016,61
WH-002,2026-01-01,SKU-0017,98
WH-002,2026-01-01,SKU-0018,112
WH-002,2026-01-01,SKU-0019,150
WH-002,2026-01-01,SKU-0020,389
WH-002,2026-01-01,SKU-0021,141
WH-002,2026-01-01,SKU-0022,287
WH-002,2026-01-01,SKU-0023,297
WH-002,2026-01-01,SKU-0024,240
WH-002,2026-01-01,SKU-0025,150
WH-002,2026-01-01,SKU-0026,430
WH-002,2026-01-01,SKU-0027,101
WH-002,2026-01-01,SKU-0028,213
WH-002,2026-01-01,SKU-0029,334
WH-002,2026-01-01,SKU-0030,26
WH-002,2026-01-01,SKU-0031,402
WH-002,2026-01-01,SKU-0032,261
WH-002,2026-01-01,SKU-0033,8
WH-002,2026-01-01,SKU-0034,93
WH-002,2026-01-01,SKU-0035,397
WH-002,2026-01-01,SKU-0036,165
WH-002,2026-01-01,SKU-0037,284
WH-002,2026-01-01,SKU-0038,243
WH-002,2026-01-01,SKU-0039,327
WH-002,2026-01-01,SKU-0040,356
WH-002,2026-01-01,SKU-0041,282
WH-002,2026-01-01,SKU-0042,147
WH-002,2026-01-01,SKU-0043,255
WH-002,2026-01-01,SKU-0044,418
WH-002,2026-01-01,SKU-0045,490
WH-002,2026-01-01,SKU-0046,235
WH-002,2026-01-01,SKU-0047,228
WH-002,2026-01-01,SKU-0048,471
WH-002,2026-01-01,SKU-0049,166
WH-002,2026-01-01,SKU-0050,253
