warehouse_id,date,sku,quantity_on_hand
WH-005,2026-01-02,SKU-0001,158
WH-005,2026-01-02,SKU-0002,244
WH-005,2026-01-02,SKU-0003,51
WH-005,2026-01-02,SKU-0004,14
WH-005,2026-01-02,SKU-0005,59
WH-005,2026-01-02,SKU-0006,262
WH-005,2026-01-02,SKU-0007,33
WH-005,2026-01-02,SKU-0008,112
WH-005,2026-01-02,SKU-0009,212
WH-005,2026-01-02,SKU-0010,184
WH-005,2026-01-02,SKU-0011,51
WH-005,2026-01-02,SKU-0012,126
WH-005,2026-01-02,SKU-0013,376
WH-005,2026-01-02,SKU-0014,481
WH-005,2026-01-02,SKU-0015,291
WH-005,2026-01-02,SKU-0016,237
WH-005,2026-01-02,SKU-0017,58
WH-005,2026-01-02,SKU-0018,223
WH-005,2026-01-02,SKU-0019,119
WH-005,2026-01-02,SKU-0020,70
WH-005,2026-01-02,SKU-0021,201
WH-005,2026-01-02,SKU-0022,347
WH-005,2026-01-02,SKU-0023,99
WH-005,2026-01-02,SKU-0024,93
WH-005,2026-01-02,SKU-0025,254
WH-005,2026-01-02,SKU-0026,8
WH-005,2026-01-02,SKU-0027,365
WH-005,2026-01-02,SKU-0028,341
WH-005,2026-01-02,SKU-0029,124
WH-005,2026-01-02,SKU-0030,322
WH-005,2026-01-02,SKU-0031,56
WH-005,2026-01-02,SKU-0032,223
WH-005,2026-01-02,SKU-0033,322
WH-005,2026-01-02,SKU-0034,490
WH-005,2026-01-02,SKU-0035,249
WH-005,2026-01-02,SKU-0036,55
WH-005,2026-01-02,SKU-0037,84
WH-005,2026-01-02,SKU-0038,162
WH-005,2026-01-02,SKU-0039,471
WH-005,2026-01-02,SKU-0040,407
WH-005,2026-01-02,SKU-0041,251
WH-005,2026-01-02,SKU-0042,169
WH-005,2026-01-02,SKU-0043,199
WH-005,2026-01-02,SKU-0044,285
WH-005,2026-01-02,SKU-0045,64
WH-005,2026-01-02,SKU-0046,240
WH-005,2026-01-02,SKU-0047,427
WH-005,2026-01-02,SKU-0048,84
WH-005,2026-01-02,SKU-0049,439
WH-005,2026-01-02,SKU-0050,449
