warehouse_id,date,sku,quantity_on_hand
WH-002,2025-12-31,SKU-0001,269
WH-002,2025-12-31,SKU-0002,25
WH-002,2025-12-31,SKU-0003,233
WH-002,2025-12-31,SKU-0004,70
WH-002,2025-12-31,SKU-0005,290
WH-002,2025-12-31,SKU-0006,411
WH-002,2025-12-31,SKU-0007,344
WH-002,2025-12-31,SKU-0008,319
WH-002,2025-12-31,SKU-0009,439
WH-002,2025-12-31,SKU-0010,209
WH-002,2025-12-31,SKU-0011,430
WH-002,2025-12-31,SKU-0012,156
WH-002,2025-12-31,SKU-0013,314
WH-002,2025-12-31,SKU-0014,167
WH-002,2025-12-31,SKU-0015,409
WH-002,2025-12-31,SKU-0016,344
WH-002,2025-12-31,SKU-0017,230
WH-002,2025-12-31,SKU-0018,17
WH-002,2025-12-31,SKU-0019,210
WH-002,2025-12-31,SKU-0020,59
WH-002,2025-12-31,SKU-0021,174
WH-002,2025-12-31,SKU-0022,274
WH-002,2025-12-31,SKU-0023,329
WH-002,2025-12-31,SKU-0024,189
WH-002,2025-12-31,SKU-0025,331
WH-002,2025-12-31,SKU-0026,84
WH-002,2025-12-31,SKU-0027,140
WH-002,2025-12-31,SKU-0028,83
WH-002,2025-12-31,SKU-0029,255
WH-002,2025-12-31,SKU-0030,154
WH-002,2025-12-31,SKU-0031,183
WH-002,2025-12-31,SKU-0032,363
WH-002,2025-12-31,SKU-0033,195
WH-002,2025-12-31,SKU-0034,228
WH-002,2025-12-31,SKU-0035,493
WH-002,2025-12-31,SKU-0036,7
WH-002,2025-12-31,SKU-0037,310
WH-002,2025-12-31,SKU-0038,171
WH-002,2025-12-31,SKU-0039,225
WH-002,2025-12-31,SKU-0040,323
WH-002,2025-12-31,SKU-0041,169
WH-002,2025-12-31,SKU-0042,145
WH-002,2025-12-31,SKU-0043,305
WH-002,2025-12-31,SKU-0044,53
WH-002,2025-12-31,SKU-0045,21
WH-002,2025-12-31,SKU-0046,493
WH-002,2025-12-31,SKU-0047,453
WH-002,2025-12-31,SKU-0048,342
WH-002,2025-12-31,SKU-0049,453
WH-002,2025-12-31,SKU-0050,301
