warehouse_id,date,sku,quantity_on_hand
WH-005,2026-01-03,SKU-0001,244
WH-005,2026-01-03,SKU-0002,85
WH-005,2026-01-03,SKU-0003,249
WH-005,2026-01-03,SKU-0004,499
WH-005,2026-01-03,SKU-0005,277
WH-005,2026-01-03,SKU-0006,198
WH-005,2026-01-03,SKU-0007,241
WH-005,2026-01-03,SKU-0008,303
WH-005,2026-01-03,SKU-0009,489
WH-005,2026-01-03,SKU-0010,369
WH-005,2026-01-03,SKU-0011,136
WH-005,2026-01-03,SKU-0012,106
WH-005,2026-01-03,SKU-0013,188
WH-005,2026-01-03,SKU-0014,26
WH-005,2026-01-03,SKU-0015,294
WH-005,2026-01-03,SKU-0016,289
WH-005,2026-01-03,SKU-0017,51
WH-005,2026-01-03,SKU-0018,46
WH-005,2026-01-03,SKU-0019,438
WH-005,2026-01-03,SKU-0020,9
WH-005,2026-01-03,SKU-0021,103
WH-005,2026-01-03,SKU-0022,394
WH-005,2026-01-03,SKU-0023,32
WH-005,2026-01-03,SKU-0024,250
WH-005,2026-01-03,SKU-0025,155
WH-005,2026-01-03,SKU-0026,471
WH-005,2026-01-03,SKU-0027,126
WH-005,2026-01-03,SKU-0028,283
WH-005,2026-01-03,SKU-0029,339
WH-005,2026-01-03,SKU-0030,405
WH-005,2026-01-03,SKU-0031,73
WH-005,2026-01-03,SKU-0032,327
WH-005,2026-01-03,SKU-0033,95
WH-005,2026-01-03,SKU-0034,412
WH-005,2026-01-03,SKU-0035,161
WH-005,2026-01-03,SKU-0036,38
WH-005,2026-01-03,SKU-0037,288
WH-005,2026-01-03,SKU-0038,142
WH-005,2026-01-03,SKU-0039,389
WH-005,2026-01-03,SKU-0040,360
WH-005,2026-01-03,SKU-0041,368
WH-005,2026-01-03,SKU-0042,376
WH-005,2026-01-03,SKU-0043,155
WH-005,2026-01-03,SKU-0044,114
WH-005,2026-01-03,SKU-0045,303
WH-005,2026-01-03,SKU-0046,164
WH-005,2026-01-03,SKU-0047,389
WH-005,2026-01-03,SKU-0048,16
WH-005,2026-01-03,SKU-0049,322
WH-005,2026-01-03,SKU-0050,70
